Ident	Bloc	X	Y	DW.predicted.model1
G819	5	45	95	1039.192314
G819	1	18	5	922.0827501
G819	6	48	103	885.3213377
G819	4	23	118	619.5394522
G820	5	51	28	NA
G820	4	27	118	295.1641923
G820	2	4	116	251.0271346
G820	1	16	44	882.6731845
G820	6	42	118	NA
G820	3	32	68	716.8300564
G821	6	47	105	NA
G821	3	36	24	375.4537593
G821	4	28	125	NA
G821	5	54	69	319.9355346
G821	1	7	22	429.6649333
G821	2	5	66	NA
G822	3	25	55	335.1217046
G822	4	28	87	NA
G822	6	44	118	NA
G822	2	5	107	337.510642
G822	1	8	8	484.0811208
G822	5	40	66	116.7708796
G823	4	38	139	NA
G823	1	9	14	270.06304
G823	3	38	42	NA
G823	2	7	95	138.2250334
G823	6	42	151	NA
G823	5	48	67	228.1380908
G824	2	7	64	NA
G824	4	23	129	NA
G824	1	17	19	NA
G824	3	28	52	NA
G824	5	40	56	NA
G824	6	53	134	46.14859152
G825	2	18	79	NA
G825	4	23	133	NA
G825	3	23	71	NA
G825	1	7	50	NA
G825	5	46	91	NA
G825	6	50	131	NA
G826	1	16	46	579.8045165
G826	5	48	66	428.564061
G826	2	16	105	389.9110375
G826	3	23	47	556.0822286
G826	4	32	122	391.715618
G826	6	55	143	287.0700255
G827	1	19	3	720.565066
G827	4	38	85	1113.025123
G827	2	17	86	695.4608486
G827	6	47	157	334.2484726
G827	3	25	59	615.3878481
G827	5	45	52	684.0526643
G828	6	43	105	NA
G828	2	10	106	1245.368166
G828	5	49	94	988.2307275
G828	3	24	17	727.7395034
G828	4	23	136	184.423165
G828	1	15	20	903.2027228
G829	1	14	14	687.5074516
G829	2	15	109	417.1557581
G829	4	28	90	172.8798399
G829	5	50	54	753.8087966
G829	3	24	48	739.9960892
G829	6	45	99	477.4899992
G830	6	54	121	747.603073
G830	2	8	66	294.0533375
G830	1	5	51	NA
G830	5	50	89	NA
G830	4	26	130	123.9719665
G830	3	35	21	447.2535979
G831	6	48	102	1280.866017
G831	5	41	84	605.5526399
G831	3	27	44	489.5460902
G831	4	37	115	339.0585797
G831	1	17	46	NA
G831	2	20	97	1067.063461
G832	5	52	82	1793.993372
G832	6	50	139	520.3796142
G832	1	7	8	1324.181409
G832	3	32	43	1157.016628
G832	4	23	132	NA
G832	2	5	87	NA
G833	6	48	154	219.501848
G833	5	54	64	884.0745661
G833	1	8	4	998.7603183
G833	2	13	110	721.7850622
G833	3	30	75	753.4234368
G833	4	35	92	807.8375381
G834	1	12	5	253.8498426
G834	4	30	110	164.0815803
G834	2	14	71	146.2003776
G834	6	44	125	320.4656104
G834	3	31	78	381.8142793
G834	5	53	40	NA
G835	3	33	41	157.1224057
G835	6	55	98	NA
G835	2	20	80	NA
G835	5	53	72	NA
G835	4	33	116	NA
G835	1	17	50	233.482382
G836	4	31	131	635.1399839
G836	5	47	54	408.7865267
G836	2	10	68	290.0665996
G836	6	54	114	358.4839385
G836	3	37	58	625.3745636
G836	1	18	35	NA
G837	2	16	72	636.1867917
G837	1	17	11	122.0673683
G837	6	41	99	419.9778943
G837	5	52	90	563.4924456
G837	3	32	73	388.047246
G837	4	27	113	481.0469561
G838	6	47	132	197.0066321
G838	5	56	38	NA
G838	2	14	87	1490.258349
G838	3	35	79	221.1698712
G838	4	26	99	1498.928196
G838	1	12	43	1737.731986
G839	3	36	37	691.8708791
G839	2	7	77	NA
G839	4	24	104	185.8133626
G839	1	6	42	568.3167075
G839	6	41	135	NA
G840	4	24	141	NA
G841	3	32	48	387.4845915
G841	4	28	121	281.7768519
G841	1	7	42	673.3268759
G841	2	16	81	377.7979001
G841	6	54	153	253.7226992
G841	5	46	38	274.7152832
G842	1	13	55	616.7990507
G842	6	48	139	219.1134422
G842	2	11	78	423.4405569
G842	4	30	131	NA
G842	3	29	83	142.4301247
G842	5	48	77	724.4207988
G843	2	21	112	262.6291404
G843	3	39	25	400.9731992
G843	5	54	42	490.570217
G843	4	37	127	NA
G843	1	11	8	294.5392098
G843	6	48	96	395.9917258
G844	4	26	114	85.39785625
G844	6	43	146	NA
G844	5	42	70	165.0665156
G845	2	3	97	265.0705203
G845	4	32	137	203.1708937
G845	5	52	85	446.8041783
G845	3	26	25	283.7190646
G845	1	5	55	497.8918428
G845	6	53	141	662.6222836
G846	1	5	54	1316.320161
G846	2	3	106	684.2139266
G846	3	34	72	880.2758814
G846	4	30	91	1137.241669
G846	5	44	72	515.068315
G847	2	17	92	NA
G847	3	33	67	589.9790653
G847	4	33	135	178.8405841
G847	1	8	11	648.1950834
G847	6	54	97	483.9809172
G847	5	49	42	577.1078909
G848	5	44	61	NA
G848	1	15	51	NA
G848	6	54	128	NA
G848	4	30	99	NA
G848	2	21	100	NA
G848	3	25	75	NA
G849	4	31	105	801.0279465
G849	2	5	60	1197.732897
G849	5	46	75	715.9360632
G849	6	47	147	155.6241515
G849	1	5	48	891.0863502
G849	3	25	65	1136.841398
G850	2	3	84	295.4858542
G850	5	46	87	418.6014654
G850	3	23	64	814.6551706
G850	6	43	124	463.8780514
G850	1	12	20	264.7777995
G850	4	23	127	318.3699262
G851	6	41	159	197.8821569
G851	3	39	26	360.8484496
G851	5	42	35	306.9974546
G851	2	20	74	517.0350532
G851	1	8	15	685.4438795
G851	4	38	96	538.8562392
G852	2	4	103	362.3324478
G852	6	42	157	164.3705804
G852	4	26	126	NA
G852	5	49	39	312.9921924
G852	3	35	73	NA
G852	1	22	10	469.0615934
G853	1	16	18	256.9851118
G853	5	51	40	NA
G853	6	42	145	NA
G853	4	26	131	NA
G853	2	5	96	466.3468218
G853	3	35	61	NA
G854	1	17	26	272.2115359
G854	5	48	71	472.8182043
G854	2	17	65	327.5347085
G854	4	31	99	433.157625
G854	6	42	124	222.6744898
G854	3	35	41	NA
G855	3	38	40	216.0651
G855	6	52	130	NA
G855	4	36	104	NA
G855	5	41	57	236.8799162
G855	2	17	75	443.4395337
G855	1	8	20	523.6037374
G856	1	3	59	312.3480464
G856	4	35	148	170.1452489
G856	2	19	71	197.5231846
G856	5	49	78	167.809208
G856	3	29	70	333.5090294
G856	6	56	121	444.2253262
G857	6	50	116	169.1318225
G857	3	34	22	264.8555673
G857	4	29	141	169.0756945
G857	2	10	74	532.3447889
G857	5	52	69	390.2261587
G857	1	11	27	NA
G858	2	12	80	NA
G858	1	17	21	487.2730082
G858	5	56	53	366.3471705
G858	4	34	115	NA
G858	3	26	65	414.4710525
G858	6	50	107	NA
G859	3	23	29	350.2912442
G859	4	34	111	291.1074132
G859	5	55	49	445.4663883
G859	2	20	85	436.5475707
G859	1	16	49	263.1913048
G859	6	47	129	NA
G860	2	8	93	706.0000537
G860	4	36	117	191.2698237
G860	5	41	66	361.3647376
G860	1	12	44	1147.689731
G860	3	34	77	658.7992313
G860	6	45	124	350.9971843
G861	3	32	19	158.0558149
G861	6	50	145	NA
G861	4	34	94	340.9287146
G861	5	48	56	342.540265
G861	2	3	73	199.3915796
G861	1	16	54	432.7580515
G862	1	11	45	380.8523985
G862	2	6	80	NA
G862	6	54	104	284.6936922
G862	3	38	38	253.5587965
G862	5	50	91	301.6639024
G862	4	27	121	41.83323089
G863	1	7	38	343.4788287
G863	4	33	133	389.6576124
G863	2	20	72	241.4893884
G863	6	44	155	194.3373522
G863	3	36	56	620.9176799
G863	5	41	52	309.108193
G864	2	20	61	832.026982
G864	1	8	46	430.9787123
G864	5	50	42	743.3693273
G864	6	53	128	329.9984649
G864	4	36	114	72.26286091
G864	3	31	28	493.159789
G865	3	23	32	1563.845237
G865	6	41	138	318.0568959
G865	4	33	121	559.5738999
G865	2	13	98	1057.095914
G865	1	3	39	814.1890809
G865	5	42	76	856.1571069
G866	5	53	92	NA
G866	4	26	100	210.7981069
G866	6	43	110	NA
G866	1	10	3	400.022158
G866	2	18	109	72.92752333
G866	3	35	19	74.15310364
G867	4	35	142	NA
G867	6	44	142	225.2331958
G867	2	7	89	259.310558
G867	1	17	57	633.1416619
G867	5	55	66	238.7008579
G867	3	26	54	374.9348114
G868	1	16	52	407.2896006
G868	5	47	62	792.37129
G868	3	31	50	552.7642231
G868	4	39	110	479.5859689
G868	2	3	99	745.8484054
G868	6	52	139	556.0178436
G869	6	42	132	874.8384385
G869	4	37	88	1228.073654
G869	2	7	76	883.0362861
G869	1	15	47	1926.433143
G869	3	34	71	1116.679358
G869	5	55	62	575.5263428
G870	1	5	27	642.7056288
G870	4	29	94	443.6268543
G870	2	5	63	255.1398736
G870	5	43	68	NA
G870	3	34	18	268.5224456
G870	6	44	114	330.9286644
G871	4	24	135	NA
G871	2	11	92	203.6210518
G871	3	31	40	NA
G871	5	47	80	336.3913442
G871	1	14	6	555.4880158
G871	6	40	111	162.6348522
G872	3	31	57	830.2579716
G872	6	46	158	488.8986127
G872	1	20	17	1074.71618
G872	2	20	109	1317.298771
G872	4	38	116	628.8239301
G872	5	46	34	1094.430638
G873	4	32	93	833.9252795
G873	5	44	69	777.7834471
G873	2	17	114	721.78553
G873	1	9	42	452.9644516
G873	6	48	113	460.4432279
G873	3	31	68	NA
G874	2	4	77	444.4765867
G874	1	3	48	641.7772096
G874	3	29	52	173.2932227
G874	4	32	128	322.4126305
G874	6	47	110	NA
G874	5	48	46	NA
G875	1	17	58	769.8597321
G875	4	36	150	NA
G875	5	55	53	375.8042234
G875	3	23	44	349.3646882
G875	2	21	114	542.4581978
G875	6	49	104	NA
G876	6	54	117	328.4766869
G876	2	9	108	573.9794916
G876	5	56	44	NA
G876	1	7	11	546.556229
G876	4	33	95	742.8490306
G876	3	30	63	484.2714062
G877	4	24	115	344.3533924
G877	1	17	32	1205.985028
G877	3	35	54	877.2195628
G877	6	51	140	226.7981728
G877	5	51	39	1187.673221
G877	2	22	74	625.9928962
G878	4	28	101	1438.007243
G878	1	20	7	1299.295538
G878	3	27	82	1316.421793
G878	6	43	158	608.0400419
G878	2	17	66	1192.560175
G878	5	44	95	994.5129688
G879	1	9	50	244.5271732
G879	6	54	127	605.4430067
G879	2	12	88	1543.316964
G879	4	31	150	319.5300095
G879	5	51	75	1011.89151
G879	3	26	72	684.2560582
G880	1	17	30	541.9612803
G880	2	17	78	405.3975185
G880	6	55	162	428.9987771
G880	4	26	104	119.7516371
G880	3	34	48	165.4605262
G880	5	50	71	522.9961629
G881	3	37	64	822.8208819
G881	2	20	86	695.6618916
G881	4	24	112	NA
G881	5	40	49	848.1430215
G881	6	50	158	342.6217549
G881	1	7	57	1312.890528
G882	3	34	57	1339.59239
G882	2	6	63	636.9476296
G882	5	48	74	467.3291565
G882	4	24	111	363.4183257
G882	1	18	39	762.7042365
G882	6	42	127	119.5268071
G883	5	47	28	624.7319332
G883	1	9	59	249.4690076
G883	4	34	113	130.4022171
G883	2	7	116	189.1180959
G883	3	35	26	297.6576481
G883	6	52	99	128.3189507
G884	2	11	107	NA
G884	5	43	30	457.6051791
G884	4	32	118	NA
G884	1	13	27	652.3514335
G884	6	51	106	181.9345595
G884	3	34	63	884.4065187
G885	3	27	74	NA
G885	5	49	44	1348.539067
G885	4	31	140	748.1532731
G885	2	20	113	771.6426265
G885	6	54	113	844.7219459
G885	1	16	37	1455.130535
G886	5	42	79	495.1345258
G886	1	12	29	450.9901841
G886	4	35	135	180.2523974
G886	6	52	102	126.2647699
G886	3	30	40	486.3820626
G886	2	5	62	505.0944664
G887	5	56	62	NA
G887	4	30	140	326.7070646
G887	3	25	27	NA
G887	1	8	19	383.2587592
G887	6	43	132	391.9028554
G887	2	20	62	707.0812859
G888	2	12	70	287.5241122
G888	1	14	15	303.0765966
G888	5	44	34	830.7878826
G888	4	30	107	520.8559929
G888	6	52	120	578.8834646
G888	3	37	31	308.5465382
G889	4	27	129	NA
G889	3	39	37	158.1211052
G889	2	8	112	187.6166723
G889	6	41	129	NA
G889	1	12	17	NA
G889	5	53	52	NA
G890	1	20	24	448.6746193
G890	6	55	150	113.6002854
G890	5	41	59	NA
G890	4	35	94	370.3795654
G890	3	37	67	384.2744371
G890	2	22	71	203.0968097
G891	6	55	141	394.871078
G891	3	24	34	664.261624
G891	4	29	134	381.8406043
G891	5	41	70	NA
G891	1	5	52	NA
G891	2	10	85	77.3474251
G892	4	31	144	501.6500911
G892	5	45	92	295.6700858
G892	3	29	37	1525.244065
G892	2	17	100	818.4398256
G892	1	6	30	1660.707693
G892	6	51	130	910.1040547
G893	1	19	58	1368.180401
G893	5	46	74	287.6368766
G893	2	8	78	893.40212
G893	4	27	142	465.7171371
G893	3	28	79	1249.141159
G893	6	45	127	653.4040706
G894	3	26	77	764.9380259
G894	6	46	118	NA
G894	1	16	56	777.1961473
G894	5	47	29	727.4879192
G894	4	34	120	530.0056187
G894	2	18	74	878.2997746
G895	6	50	119	NA
G895	6	47	100	NA
G895	1	9	53	NA
G895	4	26	102	NA
G895	1	11	3	NA
G895	2	10	89	NA
G895	2	10	72	NA
G895	4	27	85	NA
G895	3	35	69	NA
G895	3	29	26	NA
G895	5	44	82	NA
G895	5	50	47	NA
G896	4	32	131	NA
G896	6	44	108	261.8743803
G896	3	27	83	NA
G896	2	10	86	NA
G896	5	47	31	415.0710194
G896	1	6	56	318.6938411
G897	2	19	70	1261.476805
G897	5	50	56	1390.02513
G897	6	42	112	889.9026228
G897	1	5	59	1635.051906
G897	3	27	36	973.3440095
G897	4	24	99	720.0514413
G898	6	44	96	NA
G898	4	37	132	NA
G898	3	23	54	477.6957082
G898	2	6	92	539.984316
G898	5	53	45	NA
G898	1	13	32	NA
G899	6	45	104	810.5642168
G899	4	31	88	1501.709974
G899	5	46	77	1511.192943
G899	1	16	45	NA
G899	2	17	83	977.6624766
G899	3	24	36	1907.398133
G900	4	32	147	NA
G900	3	34	24	201.4016848
G900	2	11	103	673.9924791
G900	1	10	56	943.8560553
G900	5	56	39	297.2230164
G900	6	47	146	NA
G901	5	43	75	802.5167728
G901	6	46	117	303.4483156
G901	2	3	114	608.8371247
G901	3	34	49	649.1074284
G901	1	16	42	1002.275815
G901	4	36	107	1057.66254
G902	4	35	99	980.0065967
G902	2	13	87	747.075415
G902	1	18	7	879.5190319
G902	6	52	128	420.6834869
G902	5	52	68	1083.655882
G902	3	24	79	292.9027672
G903	2	13	70	481.9379865
G903	4	33	123	171.9958499
G903	6	50	150	201.6534147
G903	1	8	23	436.4577983
G903	3	27	31	290.1478844
G903	5	49	37	563.1275428
G904	4	32	96	407.7589036
G904	2	12	78	406.4379684
G904	6	42	158	198.7436132
G904	3	30	42	517.7538394
G904	1	3	50	269.8191842
G904	5	41	38	NA
G905	2	20	99	1459.764569
G905	3	36	45	356.8587425
G905	4	30	125	625.166297
G905	5	55	36	1818.224274
G905	6	40	103	1136.470153
G905	1	8	3	1337.701228
G906	5	56	47	NA
G906	1	19	24	601.8818162
G906	2	12	111	206.9512542
G906	4	37	150	NA
G906	6	41	113	NA
G906	3	35	68	NA
G907	6	40	115	1166.854112
G907	4	28	100	358.8462005
G907	5	49	75	300.0378492
G907	3	32	67	373.4891041
G907	1	17	12	1913.189087
G907	2	22	80	1567.025959
G908	2	20	82	783.1780373
G908	5	55	61	443.5613991
G908	4	33	88	1693.134807
G908	1	12	15	1949.177618
G908	6	49	151	899.5181946
G908	3	29	23	1436.786047
G909	6	51	161	782.8497255
G909	2	8	92	1359.140741
G909	4	33	131	945.2625902
G909	5	40	43	1489.926948
G909	1	18	9	2368.435771
G909	3	31	76	434.8664517
G910	1	11	25	894.1427504
G910	6	51	132	567.1702471
G910	4	26	96	747.603073
G910	3	28	71	1217.976484
G910	5	52	92	587.2231809
G910	2	12	79	668.1382415
G911	5	48	76	930.6893316
G911	3	33	32	864.7753092
G911	1	11	9	1518.605201
G911	2	21	69	1601.400848
G911	4	34	123	686.7188165
G911	6	48	129	589.6582203
G912	2	5	70	992.1690542
G912	6	50	130	890.7726853
G912	1	16	20	1799.230053
G912	4	34	144	500.4757905
G912	3	39	32	660.4430173
G912	5	48	62	1391.276544
G913	1	12	45	577.194329
G913	2	18	76	NA
G913	5	51	65	NA
G913	4	36	133	NA
G913	6	50	132	243.8117885
G913	3	34	61	918.8512397
G914	1	20	27	351.879788
G914	6	47	136	NA
G914	4	30	148	258.8696085
G914	3	25	72	326.8388755
G914	5	48	88	171.9932347
G914	2	19	89	243.6822111
G915	6	53	152	841.3662183
G915	5	55	93	1407.729527
G915	1	13	31	1667.155001
G915	2	16	93	936.6171014
G915	3	37	43	389.3005431
G915	4	34	87	1457.557125
G916	5	54	76	604.1536306
G916	6	48	122	1095.496552
G916	4	32	125	776.9679169
G916	3	23	59	1094.629534
G916	2	14	70	1020.564813
G916	1	8	42	1208.820745
G917	1	4	15	NA
G917	4	36	136	NA
G917	4	36	84	NA
G917	3	27	67	NA
G917	2	6	60	NA
G917	6	48	152	NA
G917	1	19	55	NA
G917	5	40	36	NA
G917	3	24	57	NA
G917	6	53	96	NA
G917	5	54	70	NA
G917	2	20	116	NA
G918	2	20	64	212.9694725
G918	5	51	63	799.9096902
G918	1	14	11	1374.942439
G918	3	28	25	1185.42362
G918	4	32	89	1638.235139
G918	6	52	108	892.6734811
G919	6	55	155	NA
G919	3	28	83	155.3537656
G919	4	37	96	1043.387277
G919	5	41	37	1101.997695
G919	1	6	48	265.2509479
G919	2	18	73	874.3856859
G920	6	46	139	403.829476
G920	4	32	142	NA
G920	3	26	55	1127.174588
G920	5	44	87	NA
G920	1	14	38	967.2632614
G920	2	13	112	511.3495256
G921	6	45	138	469.3246757
G921	2	6	78	615.6427073
G921	1	13	30	NA
G921	3	39	49	660.4430173
G921	5	52	53	481.1671645
G921	4	25	97	1073.127517
G922	4	29	151	268.0209295
G922	1	20	23	796.9608995
G922	2	5	64	739.4742203
G922	3	33	55	729.1672112
G922	5	52	80	980.1955117
G922	6	43	112	545.8836523
G923	3	33	80	1509.882191
G923	6	43	139	618.023136
G923	4	37	124	399.6617739
G923	5	54	62	684.7507243
G923	2	17	88	NA
G923	1	9	5	1511.737189
G924	4	28	147	165.7571121
G924	3	32	20	309.9024925
G924	6	48	137	NA
G924	1	9	19	632.6666535
G924	5	51	50	707.1760304
G924	2	21	113	371.7232282
G925	2	17	91	994.5226643
G925	6	44	97	762.4849869
G925	4	38	140	NA
G925	5	51	79	1807.862817
G925	1	20	16	1190.129758
G925	3	35	38	671.4537345
G926	5	44	56	1797.829386
G926	3	26	39	1578.498532
G926	4	34	91	1253.341424
G926	2	7	81	1250.443854
G926	1	15	25	1773.220242
G926	6	50	126	1487.27847
G927	4	30	86	1397.184102
G927	3	24	52	1130.657416
G927	2	4	85	924.8687819
G927	5	49	54	NA
G927	1	9	21	1498.315098
G927	6	48	99	1193.623817
G928	4	34	149	412.3930274
G928	3	25	71	597.2349537
G928	6	43	152	114.0810833
G928	1	9	47	1261.37572
G928	5	43	57	1445.427359
G928	2	16	85	867.8941994
G929	2	3	82	510.1863098
G929	3	27	27	1654.497754
G929	6	46	156	1018.836633
G929	1	9	20	471.9118104
G929	4	33	87	2340.087481
G929	5	50	66	2555.713087
G930	2	17	76	1079.62455
G930	4	23	138	1051.634643
G930	3	37	69	NA
G930	6	50	109	715.0195247
G930	5	55	45	1118.677005
G930	1	18	4	931.7941071
G931	3	28	42	995.1993767
G931	4	31	111	581.4760647
G931	1	13	43	1751.014252
G931	5	49	95	NA
G931	2	21	86	1212.180731
G931	6	56	133	524.3186555
G932	5	52	81	680.4973835
G932	6	53	99	430.8871388
G932	4	29	95	516.5886398
G932	1	16	19	605.2093348
G932	2	16	102	816.4362882
G932	3	39	19	782.9318692
G933	3	37	37	1361.555079
G933	1	16	48	2098.311506
G933	5	53	64	2018.968234
G933	2	13	108	927.4706885
G933	6	47	107	904.3351721
G933	4	27	125	NA
G934	5	43	79	954.0137233
G934	3	38	45	772.6160891
G934	1	8	33	1210.489692
G934	4	25	126	NA
G934	6	44	115	786.3794187
G934	2	21	115	286.358751
G935	3	26	61	1399.610347
G935	6	53	135	NA
G935	1	5	49	1318.026248
G935	2	8	74	487.3586724
G935	4	29	137	NA
G935	5	54	52	414.1716229
G936	6	42	150	395.5865069
G936	4	24	143	416.1398353
G936	2	6	66	434.3851442
G936	5	51	45	602.1176718
G936	1	12	23	677.16563
G936	3	39	48	1667.906614
G937	1	7	16	569.409435
G937	5	48	53	1052.181139
G937	2	20	77	857.1794712
G937	3	23	18	653.0845525
G937	6	51	129	NA
G937	4	34	109	781.2432257
G938	3	23	66	925.8939713
G938	5	50	51	NA
G938	2	21	67	1051.228873
G938	1	7	32	1382.948792
G938	4	35	88	942.5937156
G938	6	53	150	555.2455717
G939	1	5	28	1630.805271
G939	4	33	140	330.7492577
G939	6	48	158	530.1197721
G939	2	22	78	562.3333428
G939	5	45	38	1114.02143
G939	3	31	38	502.7796967
G940	2	3	109	910.1249378
G940	3	23	56	1116.948558
G940	1	22	14	1061.761103
G940	4	23	114	302.1520245
G940	6	48	109	618.2802465
G940	5	46	73	1231.106551
G941	2	5	98	759.8811164
G941	5	46	92	796.1591141
G941	1	10	51	986.1049978
G941	4	26	147	184.360392
G941	3	25	58	671.1280412
G941	6	40	112	528.0696422
G942	5	48	30	1370.579848
G942	4	28	95	831.974494
G942	1	11	10	1662.126787
G942	6	43	104	782.9502381
G942	3	29	32	1091.921736
G942	2	7	61	1520.400737
G943	5	40	67	596.9121216
G943	2	4	68	531.475707
G943	4	36	134	242.9522165
G943	1	3	44	354.1874134
G943	6	46	109	617.1680664
G943	3	32	31	1147.525786
G944	2	3	96	818.4493769
G944	6	51	145	290.8478093
G944	4	36	112	481.1371191
G944	1	12	18	672.1468897
G944	3	25	28	653.1184466
G944	5	41	65	966.3081904
G945	2	3	68	380.7030192
G945	4	28	109	398.1066158
G945	1	10	44	831.6987518
G945	3	39	30	699.236338
G945	5	56	64	1247.39279
G945	6	54	134	961.6810476
G946	4	38	111	152.6012974
G946	5	40	34	533.5936446
G946	3	37	33	NA
G946	1	3	52	332.1785202
G946	2	21	106	793.5365278
G946	6	54	152	772.8901134
G947	5	53	58	NA
G947	6	54	116	374.6263846
G947	1	11	14	503.8147865
G947	3	33	65	770.4703718
G947	4	34	130	444.3617139
G947	2	3	66	NA
G948	1	20	25	1777.6562
G948	4	36	116	151.8867062
G948	2	21	81	NA
G948	6	49	112	1358.502077
G948	5	53	87	1520.310371
G948	3	37	60	2226.221252
G949	2	6	102	1338.669043
G949	6	46	98	1395.632441
G949	3	36	28	727.8365579
G949	5	47	33	NA
G949	4	25	107	792.0163662
G949	1	6	43	1124.892174
G950	3	34	16	777.3956969
G950	1	17	23	NA
G950	6	44	157	948.1739663
G950	5	45	61	1536.481188
G950	2	10	79	NA
G950	4	23	121	NA
G951	4	27	110	NA
G951	6	51	155	1117.02604
G951	5	42	42	1418.438563
G951	2	6	97	1687.41121
G951	1	15	37	1327.466404
G951	3	24	23	1141.706834
G952	6	40	147	84.02873081
G952	3	34	69	1739.958286
G952	2	8	101	1118.156546
G952	5	47	43	1388.601266
G952	1	17	22	1585.08151
G952	4	39	115	1361.241861
G953	4	24	85	1114.21724
G953	2	16	86	995.8729753
G953	3	24	58	922.5273412
G953	5	42	71	1228.949136
G953	1	13	13	1721.969047
G953	6	42	126	NA
G954	5	43	49	508.7644743
G954	3	34	46	760.5765612
G954	6	40	163	737.8621587
G954	1	5	11	NA
G954	4	31	148	241.466541
G954	2	9	106	1590.819385
G955	6	52	151	565.4539091
G955	2	18	87	636.7834641
G955	1	21	3	514.8955995
G955	4	31	103	449.0615111
G955	5	55	68	214.3123342
G955	3	29	63	822.6925736
G956	1	18	34	NA
G956	3	30	62	879.7462379
G956	5	55	91	1112.266413
G956	4	34	134	733.8365931
G956	6	49	138	490.7547161
G956	2	7	82	713.3669451
G957	1	11	26	731.1885634
G957	3	26	36	1807.74234
G957	2	10	63	807.9390735
G957	6	50	142	839.0420796
G957	5	49	65	1432.697908
G957	4	24	101	360.9031853
G958	1	3	10	760.8748454
G958	3	27	41	1212.130489
G958	2	16	101	1005.626631
G958	5	49	61	836.2360405
G958	4	32	129	135.8866403
G958	6	42	159	357.5737633
G959	2	10	70	1341.732048
G959	1	10	36	1954.995993
G959	3	29	79	1684.680461
G959	6	53	140	1019.74059
G959	5	40	82	1312.868989
G959	4	39	87	841.436394
G960	4	26	132	285.81925
G960	2	12	107	1409.781906
G960	1	3	18	903.1604593
G960	6	54	103	1120.292851
G960	5	45	89	2334.553579
G961	6	48	142	NA
G961	3	36	25	538.7537444
G961	2	19	77	735.3350524
G961	1	17	29	676.7873878
G961	4	27	105	407.3094199
G961	5	42	87	425.336119
G962	5	41	53	258.1607024
G962	3	26	24	227.8390696
G962	6	46	119	NA
G962	1	16	53	294.5659851
G962	4	29	125	NA
G962	2	16	88	NA
G963	6	49	125	1066.424368
G963	3	35	65	639.247363
G963	5	41	50	540.4806163
G963	1	10	45	912.4079605
G963	4	29	149	286.5633946
G963	2	15	114	863.7476861
G964	1	14	18	839.8473243
G964	6	50	102	617.574779
G964	5	44	63	676.9077006
G964	4	38	133	248.0627355
G964	2	18	96	900.6125564
G964	3	26	42	835.7433372
G965	6	50	110	816.3057091
G965	5	50	65	713.1283684
G965	3	38	27	639.0349672
G965	4	24	137	570.7597652
G965	1	12	30	908.5351515
G965	2	12	103	833.3917106
G966	3	38	41	513.836436
G966	2	5	104	1004.262822
G966	1	21	30	953.8601925
G966	5	52	39	783.9874113
G966	4	39	89	470.9902664
G966	6	50	141	327.9282879
G967	2	11	108	860.4318452
G967	6	44	116	440.5595133
G967	3	36	46	NA
G967	1	20	20	509.0046479
G967	5	46	49	502.216306
G967	4	37	95	519.9004923
G968	1	3	49	NA
G968	3	27	69	NA
G968	6	54	132	104.5970521
G968	2	8	71	312.4805066
G968	5	51	54	425.1984788
G968	4	24	113	NA
G969	6	41	136	144.0828918
G969	4	27	143	496.26221
G969	1	14	19	807.9999443
G969	5	55	64	625.386262
G969	2	8	91	409.6634806
G969	3	23	51	493.895159
G970	3	31	26	602.8314023
G970	6	43	128	NA
G970	5	41	40	792.4857508
G970	2	15	97	862.0190338
G970	1	14	23	947.9944214
G970	4	38	109	776.1730842
G971	2	8	86	230.3332015
G971	4	28	108	636.9786779
G971	3	35	33	783.7437187
G971	6	55	99	614.9877837
G971	1	11	43	189.1007506
G971	5	56	31	887.3474513
G972	3	27	38	561.6231946
G972	6	48	118	590.7171597
G972	5	41	68	461.8575998
G972	2	18	60	380.7030192
G972	4	34	145	NA
G972	1	11	58	541.4666142
G973	3	32	51	362.4269054
G973	5	55	75	632.0344762
G973	4	26	86	432.1407791
G973	1	11	57	653.602111
G973	2	21	99	491.9990694
G973	6	56	120	488.9581554
G974	6	45	100	1129.867536
G974	3	34	67	1636.419739
G974	5	47	71	897.0786523
G974	4	26	128	550.1320644
G974	2	16	116	1018.601202
G974	1	12	49	1168.519598
G975	3	24	16	NA
G975	2	10	84	463.3542404
G975	4	29	107	790.151798
G975	1	14	20	657.1004429
G975	5	53	84	889.7987975
G975	6	51	119	NA
G976	2	20	105	419.68057
G976	4	28	93	387.686881
G976	5	54	31	451.2550034
G976	6	53	112	247.2981322
G976	3	33	66	681.2980008
G976	1	11	18	550.0205259
G977	2	12	77	469.0311793
G977	5	42	56	420.8783319
G977	3	32	56	461.5447312
G977	1	14	39	1002.231449
G977	6	40	113	276.5944569
G977	4	23	144	NA
G978	5	40	50	499.0256863
G978	3	37	18	601.7550607
G978	4	24	125	103.0099837
G978	1	3	24	419.9822912
G978	6	55	112	424.1825561
G978	2	17	87	509.1751347
G979	5	54	67	529.8710703
G979	2	7	99	1015.349096
G979	6	44	129	779.5302633
G979	3	39	18	728.5325182
G979	1	15	58	708.6255621
G979	4	31	129	420.283379
G980	6	49	100	373.1297261
G980	1	10	46	666.4000379
G980	4	33	151	NA
G980	5	53	62	444.6434104
G980	3	38	53	384.3708383
